,WELL,DEPTH_MD,CALI,RMED,RDEP,RHOB,GR,NPHI,DTC,FORCE_2020_LITHOFACIES_LITHOLOGY,GROUP,GROUP_num,LITHOLOGY,RMED_log,RDEP_log
611195,34/8-1,1730.1770232,18.263872147,0.5867590904,0.4670265019,2.1177299023,72.945465088,0.5996733904,153.57046509,65000,HORDALAND GP.,5,Shale (Argilito),-0.23154017334423732,-0.33065847424681954
611196,34/8-1,1730.3290232,18.333118439,0.580881834,0.4676165581,2.127474308,74.33946991,0.5941615701,153.02519226,65000,HORDALAND GP.,5,Shale (Argilito),-0.23591220506434626,-0.33011011905822446
611197,34/8-1,1730.4810232,18.308403015,0.576341629,0.4683000147,2.131510973,75.140625,0.5518875122,146.98957825,65000,HORDALAND GP.,5,Shale (Argilito),-0.2393200103127235,-0.32947582858535807
611198,34/8-1,1730.6330232,18.236410141,0.575699985,0.4685156047,2.1254358292,74.503936768,0.5215443969,141.40238953,65000,HORDALAND GP.,5,Shale (Argilito),-0.2398037818605119,-0.3292759396273444
611199,34/8-1,1730.7850232,18.263505936,0.5719991326,0.4721326828,2.1047554016,72.873878479,0.516132772,140.38409424,70000,HORDALAND GP.,5,Limestone (Calcário),-0.2426046297862052,-0.3259359350307189
611200,34/8-1,1730.9370232,18.478063583,0.5622884631,0.4753668606,2.0835883617,73.630332947,0.5153899789,143.83580017,70000,HORDALAND GP.,5,Limestone (Calcário),-0.25004082714933645,-0.3229710976608633
611201,34/8-1,1731.0890232,18.549316406,0.5641468763,0.4740587175,2.0740323067,73.80418396,0.5166832209,146.48426819,70000,HORDALAND GP.,5,Limestone (Calcário),-0.24860781221823955,-0.32416786274173215
611202,34/8-1,1731.2410232,18.345933914,0.591740191,0.471906811,2.0950739384,73.906730652,0.5294881463,149.68714905,70000,HORDALAND GP.,5,Limestone (Calcário),-0.22786893243543355,-0.32614375446809124
611203,34/8-1,1731.3930232,18.152734756,0.6260269284,0.4717261493,2.1188161373,75.496543884,0.56622684,151.96076965,70000,HORDALAND GP.,5,Limestone (Calcário),-0.20340698531353654,-0.3263100487449146
611204,34/8-1,1731.5450232,18.249570847,0.6334517598,0.475497961,2.1223504543,76.163589478,0.6026130319,151.51174927,70000,HORDALAND GP.,5,Limestone (Calcário),-0.19828645299897907,-0.32285134103644575
611205,34/8-1,1731.6970232,18.408557892,0.6096391678,0.4825626016,2.1032342911,75.108047485,0.6107851863,151.35935974,65000,HORDALAND GP.,5,Shale (Argilito),-0.21492713843197303,-0.31644633876396466
611206,34/8-1,1731.8490232,18.442140579,0.5760966539,0.4982179701,2.0877225399,72.154006958,0.5873557925,150.74090576,65000,HORDALAND GP.,5,Shale (Argilito),-0.23950464724697818,-0.30258061205739745
611207,34/8-1,1732.0010232,18.475721359,0.5648428798,0.5143006444,2.0947849751,71.291007996,0.5548256636,150.75775146,65000,HORDALAND GP.,5,Shale (Argilito),-0.24807234142925325,-0.2887829315233804
611208,34/8-1,1732.1530232,18.378286362,0.5805829763,0.5220258832,2.1050112247,72.942855835,0.5429185033,151.25642395,65000,HORDALAND GP.,5,Shale (Argilito),-0.23613570258523156,-0.2823079631811588
611209,34/8-1,1732.3050232,18.265481949,0.6025247574,0.5271449685,2.1137831211,75.089317322,0.5343027115,151.62754822,65000,HORDALAND GP.,5,Shale (Argilito),-0.22002510347291737,-0.2780699343857002
611210,34/8-1,1732.4570232,18.236539841,0.6222329736,0.529553771,2.1168789864,77.707328796,0.5243681669,151.62310791,65000,HORDALAND GP.,5,Shale (Argilito),-0.20604697832360325,-0.27608993496548573
611211,34/8-1,1732.6090232,18.155500412,0.6311019659,0.5305068493,2.1130342484,77.16973114,0.5276134014,151.87867737,65000,HORDALAND GP.,5,Shale (Argilito),-0.19990046698384867,-0.2753090046109112
611212,34/8-1,1732.7610232,18.134342194,0.6291403174,0.5363730788,2.1049311161,73.083511353,0.5435861945,152.62667847,65000,HORDALAND GP.,5,Shale (Argilito),-0.20125248289114175,-0.27053302802776935
611213,34/8-1,1732.9130232,18.19799614,0.6223537922,0.5446973443,2.0888290405,71.374534607,0.5492997169,153.24978638,65000,HORDALAND GP.,5,Shale (Argilito),-0.20596265981259548,-0.26384474214685544
611214,34/8-1,1733.0650232,18.262914658,0.6181973219,0.5505358577,2.0769944191,72.372665405,0.5389567018,153.74865723,65000,HORDALAND GP.,5,Shale (Argilito),-0.20887288068094956,-0.25921438914620565
611215,34/8-1,1733.2170232,18.344686508,0.6179580092,0.550083518,2.0720090866,74.049194336,0.5330675244,153.75265503,65000,HORDALAND GP.,5,Shale (Argilito),-0.20904103460747153,-0.2595713675004919
611216,34/8-1,1733.3690232,18.269908905,0.6186268926,0.5387325287,2.0623445511,74.974235535,0.5375440717,153.6230011,65000,HORDALAND GP.,5,Shale (Argilito),-0.20857120451725267,-0.2686268009374137
611217,34/8-1,1733.5210232,18.05629158,0.6186808348,0.5259935856,2.06052351,76.551887512,0.5435314775,153.811203,65000,HORDALAND GP.,5,Shale (Argilito),-0.20853333713907699,-0.2790195519593987
611218,34/8-1,1733.6730232,17.982559204,0.618611455,0.5207699537,2.0638012886,79.718421936,0.5569571257,153.93586731,65000,HORDALAND GP.,5,Shale (Argilito),-0.20858204230692703,-0.28335408073540924
611219,34/8-1,1733.8250232,18.103696823,0.6160823107,0.5164663792,2.0716183186,80.120651245,0.5890163183,153.93946838,65000,HORDALAND GP.,5,Shale (Argilito),-0.2103612607337254,-0.28695794481844317
611220,34/8-1,1733.9770232,18.229804993,0.6038089395,0.5049496293,2.0725922585,77.535049438,0.6183845997,153.81480408,65000,HORDALAND GP.,5,Shale (Argilito),-0.21910046145737086,-0.2967519422934525
611221,34/8-1,1734.1290232,18.262477875,0.5874921679,0.4919082522,2.0665678978,73.922111511,0.6216660142,153.74829102,65000,HORDALAND GP.,5,Shale (Argilito),-0.23099791877619988,-0.30811589170197795
611222,34/8-1,1734.2810232,18.284734726,0.5756246448,0.4867999852,2.0639045238,73.428222656,0.5890435576,153.74464417,65000,HORDALAND GP.,5,Shale (Argilito),-0.23986062044856132,-0.312649443645667
611223,34/8-1,1734.4330232,18.258419037,0.5681071877,0.4828704596,2.0579402447,76.834579468,0.5640093684,153.74099731,65000,HORDALAND GP.,5,Shale (Argilito),-0.24556971598818697,-0.3161693624711176
611224,34/8-1,1734.5850232,18.266700745,0.5644236803,0.4702146053,2.0480058193,80.699203491,0.5701699257,153.73735046,65000,HORDALAND GP.,5,Shale (Argilito),-0.2483947737839542,-0.3277038854137894
611225,34/8-1,1734.7370232,18.392532349,0.5633083582,0.4584189057,2.0402674675,83.686256409,0.5818557739,153.73370361,65000,HORDALAND GP.,5,Shale (Argilito),-0.2492538047859368,-0.33873747988910397
611226,34/8-1,1734.8890232,18.370592117,0.5626636147,0.4519695044,2.0360198021,86.262702942,0.5983589292,153.7301178,65000,HORDALAND GP.,5,Shale (Argilito),-0.249751168098054,-0.3448908672187038
611227,34/8-1,1735.0410232,18.193187714,0.5635368228,0.4450671971,2.0394599438,86.465682983,0.5938515067,153.72648621,65000,HORDALAND GP.,5,Shale (Argilito),-0.24907770088431355,-0.35157441345380674
611228,34/8-1,1735.1930232,18.099708557,0.5652567744,0.4391826689,2.0482842922,82.068031311,0.5725089312,153.72283936,65000,HORDALAND GP.,5,Shale (Argilito),-0.2477542240875859,-0.3573548064213645
611229,34/8-1,1735.3450232,18.048788071,0.5696856976,0.4414029419,2.0512640476,76.538909912,0.5430871844,153.71923828,65000,HORDALAND GP.,5,Shale (Argilito),-0.2443646837052807,-0.35516477664178875
611230,34/8-1,1735.4970232,17.978250504,0.5746681094,0.4546743631,2.0467224121,73.397369385,0.5274523497,153.71559143,65000,HORDALAND GP.,5,Shale (Argilito),-0.240582902911353,-0.3422995328810861
611231,34/8-1,1735.6490232,17.951601028,0.5763350129,0.4699599743,2.0383999348,72.559295654,0.5373833179,153.71195984,65000,HORDALAND GP.,5,Shale (Argilito),-0.2393249958144979,-0.32793912861930635
611232,34/8-1,1735.8010232,18.00315094,0.569835484,0.4809297025,2.040157795,71.22820282,0.5363522172,153.70838928,65000,HORDALAND GP.,5,Shale (Argilito),-0.24425051047461296,-0.3179183998164067
611233,34/8-1,1735.9530232,18.086755753,0.5633818507,0.4804114699,2.047721386,70.94065094,0.5285272598,153.70474243,65000,HORDALAND GP.,5,Shale (Argilito),-0.24919714788592223,-0.31838663229574965
611234,34/8-1,1736.1050232,18.190553665,0.5646233559,0.470897764,2.0575625896,73.174301147,0.5276790261,153.70109558,65000,HORDALAND GP.,5,Shale (Argilito),-0.24824116103023458,-0.3270733717462074
611235,34/8-1,1736.2570232,18.17232132,0.5704632401,0.4602900147,2.0590651035,76.817131042,0.5383571386,153.69746399,65000,HORDALAND GP.,5,Shale (Argilito),-0.2437723357086655,-0.33696844636982626
611236,34/8-1,1736.4090232,17.995069504,0.5711519122,0.4561543763,2.0475428104,78.133636475,0.5601972938,153.69381714,65000,HORDALAND GP.,5,Shale (Argilito),-0.24324836486166404,-0.3408881542018658
611237,34/8-1,1736.5610232,17.883016586,0.5653239489,0.4555788636,2.0287868977,75.768486023,0.5760677457,153.69023132,65000,HORDALAND GP.,5,Shale (Argilito),-0.2477026160703825,-0.34143643304513616
611238,34/8-1,1736.7130232,17.937166214,0.5590486526,0.4581779838,2.0257673264,72.418441772,0.5837862492,153.68659973,65000,HORDALAND GP.,5,Shale (Argilito),-0.25255039491096937,-0.3389657832040023
611239,34/8-1,1736.8650232,18.118068695,0.5554156303,0.4673447013,2.0403907299,71.839241028,0.5731732249,153.68293762,65000,HORDALAND GP.,5,Shale (Argilito),-0.2553819026600775,-0.3303626769267954
611240,34/8-1,1737.0170232,18.38999176,0.5621734858,0.4773878157,2.0633194447,60.129669189,0.5519337058,153.67930603,65000,HORDALAND GP.,5,Shale (Argilito),-0.25012964119441283,-0.3211286696229034
611241,34/8-1,1737.1690232,18.428365707,0.5861783028,0.4965237975,2.0911943913,42.328746796,0.5358944535,153.67565918,65000,HORDALAND GP.,5,Shale (Argilito),-0.23197026086964873,-0.3040599317098747
611242,34/8-1,1737.3210232,18.316864014,0.6263494492,0.5119525194,2.1089000702,43.654125214,0.5273752809,153.67207336,65000,HORDALAND GP.,5,Shale (Argilito),-0.20318330015092761,-0.2907703154280094
611243,34/8-1,1737.4730232,18.219034195,0.6597909331,0.5189167857,2.120002985,44.113277435,0.5365159512,153.66848755,65000,HORDALAND GP.,5,Shale (Argilito),-0.18059365685932294,-0.28490228070422924
611244,34/8-1,1737.6250232,18.107486725,0.6665546894,0.5327641964,2.1213507652,43.892044067,0.5309051275,153.66485596,65000,HORDALAND GP.,5,Shale (Argilito),-0.17616421184616127,-0.27346496895108907
611245,34/8-1,1737.7770232,18.038608551,0.6563209295,0.5456197262,2.1252999306,46.310359955,0.507982254,153.66120911,65000,HORDALAND GP.,5,Shale (Argilito),-0.18288374625133788,-0.26310993669295796
611246,34/8-1,1737.9290232,18.027667999,0.6444429755,0.5460777879,2.1218230724,49.52204895,0.4905205369,153.65757751,65000,HORDALAND GP.,5,Shale (Argilito),-0.19081550580686032,-0.26274548834021166
611247,34/8-1,1738.0810232,17.940301895,0.6363232136,0.5322632194,2.0988018513,52.355289459,0.5011956692,153.65391541,65000,HORDALAND GP.,5,Shale (Argilito),-0.19632223305091792,-0.27387354352763
611248,34/8-1,1738.2330232,17.543382645,0.6231111884,0.5078672171,2.0501413345,51.470775604,0.5097822547,153.65032959,65000,HORDALAND GP.,5,Shale (Argilito),-0.20543445061210228,-0.2942498200362872
611249,34/8-1,1738.3850232,16.77135849,0.5955915451,0.4867564142,1.9892439842,49.047393799,0.5165012479,153.646698,65000,HORDALAND GP.,5,Shale (Argilito),-0.2250514760348343,-0.312688316883818
611250,34/8-1,1738.5370232,15.880797386,0.5600073934,0.4755557179,1.9294637442,47.165237427,0.5351187587,153.64305115,65000,HORDALAND GP.,5,Shale (Argilito),-0.25180623925875195,-0.32279859216737733
611251,34/8-1,1738.6890232,14.943685532,0.5403405428,0.4646212459,1.8918353319,45.66229248,0.574005127,153.63941956,65000,HORDALAND GP.,5,Shale (Argilito),-0.26733244528008726,-0.3329009349443774
611252,34/8-1,1738.8410232,14.362826347,0.5384503603,0.4529488981,1.8747702837,46.714096069,0.5850751996,153.63577271,65000,HORDALAND GP.,5,Shale (Argilito),-0.26885432809764204,-0.34395079252373606
611253,34/8-1,1738.9930232,14.217480659,0.5420389175,0.4354357421,1.8660119772,46.473648071,0.5778286457,153.63218689,65000,HORDALAND GP.,5,Shale (Argilito),-0.2659695307148798,-0.3610759254104286
611254,34/8-1,1739.1450232,14.067630768,0.544047296,0.4141598642,1.8590931892,47.065834045,0.5732939839,153.6285553,65000,HORDALAND GP.,5,Shale (Argilito),-0.26436334386989924,-0.38283199042817145
611255,34/8-1,1739.2970232,13.978890419,0.5461492538,0.4157970846,1.863135457,47.737846375,0.5758287907,153.62489319,65000,HORDALAND GP.,5,Shale (Argilito),-0.2626886553835578,-0.38111856009009887
611256,34/8-1,1739.4490232,13.953979492,0.5550217628,0.4473610222,1.8735417128,49.69020462,0.5430343747,153.62130737,65000,HORDALAND GP.,5,Shale (Argilito),-0.2556899875464246,-0.34934185792575995
611257,34/8-1,1739.6010232,13.729615211,0.577717483,0.487146318,1.8770329952,52.968631744,0.4889231026,153.61767578,65000,HORDALAND GP.,5,Shale (Argilito),-0.2382844895547635,-0.3123405756315112
611258,34/8-1,1739.7530232,13.089454651,0.5882818103,0.5073364973,1.8536046743,53.55280304,0.4739424884,153.61402893,65000,HORDALAND GP.,5,Shale (Argilito),-0.23041457980984323,-0.2947038938311409
611259,34/8-1,1739.9050232,12.09926796,0.562754631,0.5237013698,1.8041721582,52.672676086,0.5128769279,153.61044312,65000,HORDALAND GP.,5,Shale (Argilito),-0.2496809224323374,-0.2809162901508278
611260,34/8-1,1740.0570232,11.480807304,0.5761569142,0.5445405245,1.7442955971,50.39081192,0.5650759935,153.60681152,65000,HORDALAND GP.,5,Shale (Argilito),-0.23945922197511743,-0.26396979467434195
611261,34/8-1,1740.2090232,11.507782936,0.6286091805,0.5656012893,1.6938328743,50.246864319,0.5801250935,153.60316467,65000,HORDALAND GP.,5,Shale (Argilito),-0.2016192806340979,-0.24748960922664973
611262,34/8-1,1740.3610232,11.534757614,0.6731641889,0.5662726164,1.6663314104,50.03735733,0.5587832332,153.5995636,65000,HORDALAND GP.,5,Shale (Argilito),-0.1718789957514685,-0.24697443931628854
611263,34/8-1,1740.5130232,11.561733246,0.6634263396,0.5560953021,1.659189105,49.863605499,0.5513535142,153.59593201,65000,HORDALAND GP.,5,Shale (Argilito),-0.17820728995272586,-0.2548507738327645
611264,34/8-1,1740.6650232,11.588707924,0.6103437543,0.5466058254,1.6623386145,48.225013733,0.56089288,153.59228516,65000,HORDALAND GP.,5,Shale (Argilito),-0.21442549524098692,-0.26232574416623855
611265,34/8-1,1740.8170232,11.615683556,0.5887629986,0.5296134949,1.6720348597,48.023334503,0.5713381171,153.58865356,65000,HORDALAND GP.,5,Shale (Argilito),-0.2300594914843893,-0.2760409573184789
611266,34/8-1,1740.9690232,11.642659187,0.5969700813,0.5121033788,1.6836727858,49.952022552,0.5772659183,153.58500671,65000,HORDALAND GP.,5,Shale (Argilito),-0.22404743411671532,-0.29064235873042604
611267,34/8-1,1741.1210232,11.669633865,0.6088261008,0.5046480298,1.6990292072,50.955711365,0.5807369947,153.5814209,65000,HORDALAND GP.,5,Shale (Argilito),-0.21550673733073128,-0.29701141793963787
611268,34/8-1,1741.2730232,11.696609497,0.6011303067,0.5025777221,1.7163876295,53.761814117,0.5747163892,153.57778931,65000,HORDALAND GP.,5,Shale (Argilito),-0.22103137600613063,-0.298796766406937
611269,34/8-1,1741.4250232,11.723584175,0.5942057371,0.5051586628,1.7304934263,53.466896057,0.5626948476,153.5741272,65000,HORDALAND GP.,5,Shale (Argilito),-0.22606315936701674,-0.2965721950374625
611270,34/8-1,1741.5770232,11.750559807,0.601796627,0.5122061372,1.7394840717,53.143596649,0.5456680059,153.57049561,65000,HORDALAND GP.,5,Shale (Argilito),-0.2205502507591032,-0.29055522216566354
611271,34/8-1,1741.7290232,11.777534485,0.6129455566,0.5204851031,1.7412343025,50.96162796,0.5342170596,153.56684875,65000,HORDALAND GP.,5,Shale (Argilito),-0.21257809892081198,-0.28359169599792344
611272,34/8-1,1741.8810232,11.804510117,0.6211172342,0.5280724168,1.7525815964,48.093715668,0.5369429588,153.56326294,65000,HORDALAND GP.,5,Shale (Argilito),-0.2068264201762502,-0.277306516746324
611273,34/8-1,1742.0330232,11.831484795,0.6258484125,0.5338772535,1.7737941742,47.810371399,0.5293713808,153.55966187,65000,HORDALAND GP.,5,Shale (Argilito),-0.20353084504348656,-0.2725585824008967
611274,34/8-1,1742.1850232,11.858460426,0.6307241321,0.5380846262,1.7890319824,46.814647675,0.5417234302,153.55604553,65000,HORDALAND GP.,5,Shale (Argilito),-0.20016055217241913,-0.2691494161525155
611275,34/8-1,1742.3370232,11.885436058,0.6270321012,0.5403370261,1.7833940983,47.461235046,0.5485048294,153.55238342,65000,HORDALAND GP.,5,Shale (Argilito),-0.20271022469217223,-0.26733527180938416
611276,34/8-1,1742.4890232,11.912410736,0.6140650511,0.5410000086,1.7680106163,46.741241455,0.564258635,153.54876709,65000,HORDALAND GP.,5,Shale (Argilito),-0.21178561935180687,-0.26680272798967364
611277,34/8-1,1742.6410232,11.939386368,0.6053373218,0.5410000086,1.7598316669,47.782543182,0.576936543,153.54510498,65000,HORDALAND GP.,5,Shale (Argilito),-0.21800254903125127,-0.26680272798967364
611278,34/8-1,1742.7930232,11.966361046,0.5886884928,0.541328907,1.7612377405,48.052101135,0.5847254992,153.54150391,65000,HORDALAND GP.,5,Shale (Argilito),-0.23011445333732222,-0.26653878093519734
611279,34/8-1,1742.9450232,11.993336678,0.5857263207,0.5416736603,1.7601362467,48.054367065,0.597855866,153.53788757,65000,HORDALAND GP.,5,Shale (Argilito),-0.2323052597044442,-0.2662622821246015
611280,34/8-1,1743.0970232,12.020311356,0.5873706937,0.5379908085,1.7608397007,45.12594223,0.6068874598,153.53424072,65000,HORDALAND GP.,5,Shale (Argilito),-0.2310877259812209,-0.26922514413255144
611281,34/8-1,1743.2490232,12.047286987,0.5901705027,0.5276225805,1.7632254362,45.801300049,0.5890170336,153.53060913,65000,HORDALAND GP.,5,Shale (Argilito),-0.22902250075736857,-0.2776766263616448
611282,34/8-1,1743.4010232,12.074261665,0.5919591188,0.5162311792,1.761878252,47.952205658,0.5735345483,153.52696228,65000,HORDALAND GP.,5,Shale (Argilito),-0.22770828498760254,-0.2871557685918781
611283,34/8-1,1743.5530232,12.101237297,0.5870544314,0.5101419687,1.7558140755,52.182342529,0.5551180243,153.52336121,65000,HORDALAND GP.,5,Shale (Argilito),-0.23132162931334252,-0.29230894617072284
611284,34/8-1,1743.7050232,12.128211975,0.5767658353,0.5110226274,1.751257062,50.50446701,0.5752804875,153.51974487,65000,HORDALAND GP.,5,Shale (Argilito),-0.23900047294210822,-0.2915598694594274
611285,34/8-1,1743.8570232,12.155187607,0.5816786885,0.5159680247,1.7522230148,47.566131592,0.5831127167,153.51608276,65000,HORDALAND GP.,5,Shale (Argilito),-0.23531684755868829,-0.2873772114088891
611286,34/8-1,1744.0090232,12.182163239,0.5889101028,0.5213081837,1.7529511452,46.495681763,0.6032323837,153.51245117,65000,HORDALAND GP.,5,Shale (Argilito),-0.22995099525978996,-0.28290545729463007
611287,34/8-1,1744.1610232,12.209137917,0.593185544,0.5225802064,1.7488362789,47.979568481,0.5910595655,153.50880432,65000,HORDALAND GP.,5,Shale (Argilito),-0.22680944132121716,-0.28184704392758647
611288,34/8-1,1744.3130232,12.236113548,0.5950485468,0.5249297619,1.7435592413,49.51625824,0.5864062309,153.50521851,65000,HORDALAND GP.,5,Shale (Argilito),-0.22544760108274156,-0.2798988033749
611289,34/8-1,1744.4650232,12.263088226,0.5969204307,0.5280501246,1.7447885275,48.690551758,0.5737202764,153.50161743,65000,HORDALAND GP.,5,Shale (Argilito),-0.22408355632624602,-0.2773248505647427
611290,34/8-1,1744.6170232,12.290063858,0.6042721868,0.5303653479,1.746645689,48.215381622,0.5761198401,153.4980011,65000,HORDALAND GP.,5,Shale (Argilito),-0.2187673948252921,-0.2754248588631542
611291,34/8-1,1744.7690232,12.317038536,0.6079557538,0.5311400294,1.7544218302,47.931224823,0.591367662,153.49435425,65000,HORDALAND GP.,5,Shale (Argilito),-0.21612802694394462,-0.2747909667178921
611292,34/8-1,1744.9210232,12.344014168,0.5975151658,0.5299461484,1.7559000254,47.354183197,0.6026517749,153.49072266,65000,HORDALAND GP.,5,Shale (Argilito),-0.22365106721720304,-0.2757682599104641
611293,34/8-1,1745.0730232,12.370988846,0.5814393759,0.5304447412,1.7535154819,48.242416382,0.629001379,153.48706055,65000,HORDALAND GP.,5,Shale (Argilito),-0.23549556053078907,-0.2753598518039101
611294,34/8-1,1745.2250232,12.397964478,0.58504951,0.5310582519,1.7467784882,49.547504425,0.6096218228,153.48345947,65000,HORDALAND GP.,5,Shale (Argilito),-0.23280738005462298,-0.2748578384454957
611295,34/8-1,1745.3770232,12.424940109,0.5886158943,0.5319841504,1.7443858385,51.715900421,0.5775431395,153.4798584,65000,HORDALAND GP.,5,Shale (Argilito),-0.23016801489426514,-0.27410130660788246
